cell_id,step_ix,simulation_i,sim_time,,
cell216,3196,6,504.0833333,,
cell217,836,2,376.0833333,,
cell218,2542,5,344.0833333,,
cell219,4955,9,578.0833333,,
cell220,4138,8,92.08333333,,
cell221,2682,5,624,,
cell222,1591,3,738,,
cell223,4865,9,398.0833333,,
cell224,1850,4,108.0833333,,
cell225,3000,6,112.0833333,,
cell226,4461,8,738,,
cell227,4477,8,770,,
cell228,2406,5,72,,
cell229,2629,5,518.0833333,,
cell230,793,2,290,,
cell231,1472,3,500.0833333,,
cell232,1221,3,0,,
cell233,5255,10,30.08333333,,
cell234,4170,8,156,,
cell235,547,1,946,,
cell236,1815,4,38.08333333,,
cell237,1454,3,464.0833333,,
cell238,4494,8,804,,
cell239,5030,9,728,,
cell240,4740,9,148.0833333,,
cell241,3406,6,924,,
cell242,1831,4,70,,
cell243,4457,8,730,,
cell244,3540,7,44,,
cell245,4147,8,110.0833333,,
cell246,2392,5,44,,
cell247,4106,8,28.08333333,,
cell248,4334,8,484.0833333,,
cell249,176,1,204,,
cell250,1235,3,26.08333333,,
cell251,2194,4,796,,
cell252,4249,8,314.0833333,,
cell253,925,2,554.0833333,,
cell254,1590,3,736,,
cell255,2216,4,840,,
cell256,3146,6,404.0833333,,
cell257,4805,9,278,,
cell258,4729,9,126.0833333,,
cell259,1707,3,970,,
cell260,4094,8,4,,
cell261,2446,5,152.0833333,,
cell262,4836,9,340.0833333,,
cell263,1959,4,326.0833333,,
cell264,2430,5,120.0833333,,
cell265,4158,8,132.0833333,,
cell266,521,1,894,,
cell267,1567,3,690,,
cell268,2060,4,528.0833333,,
cell269,748,2,200,,
cell270,137,1,126.0833333,,
cell271,2370,5,0,,
cell272,456,1,764,,
cell273,4117,8,50,,
cell274,4566,8,948,,
cell275,4741,9,150.0833333,,
cell276,461,1,774,,
cell277,961,2,626,,
cell278,2199,4,806,,
cell279,5433,10,386.0833333,,
cell280,4415,8,646,,
cell281,4847,9,362.0833333,,
cell282,1040,2,784,,
cell283,1251,3,58,,
cell284,920,2,544.0833333,,
cell285,3439,6,990,,
cell286,1610,3,776,,
cell287,1699,3,954,,
cell288,2405,5,70,,
cell289,1999,4,406.0833333,,
cell290,4205,8,226,,
cell291,5271,10,62,,
cell292,232,1,316.0833333,,
cell293,1470,3,496.0833333,,
cell294,1469,3,494.0833333,,
cell295,4739,9,146.0833333,,
cell296,2489,5,238,,
cell297,4260,8,336.0833333,,
cell298,831,2,366.0833333,,
cell299,5138,9,944,,
cell300,4261,8,338.0833333,,
cell301,1091,2,886,,
cell302,3918,7,800,,
cell303,1041,2,786,,
cell304,183,1,218,,
cell305,5316,10,152.0833333,,
cell306,5308,10,136.0833333,,
cell307,5317,10,154,,
cell308,4168,8,152.0833333,,
cell309,4575,8,966,,
cell310,891,2,486.0833333,,
cell311,1572,3,700,,
cell312,2243,4,894,,
cell313,504,1,860,,
cell314,2526,5,312.0833333,,
cell315,4429,8,674,,
cell316,3199,6,510.0833333,,
cell317,1607,3,770,,
cell318,649,2,2.083333333,,
cell319,2057,4,522.0833333,,
cell320,1590,3,736,,
cell321,897,2,498.0833333,,
cell322,539,1,930,,
cell323,707,2,118.0833333,,
cell324,703,2,110.0833333,,
cell325,2670,5,600.0833333,,
cell326,4385,8,586.0833333,,
cell327,3578,7,120.0833333,,
cell328,3206,6,524.0833333,,
cell329,5316,10,152.0833333,,
cell330,3125,6,362.0833333,,
