cell_id,step_ix,simulation_i,sim_time,,
cell939,3184,6,480.0833333,,
cell940,5407,10,334.0833333,,
cell941,2865,5,990,,
cell942,3289,6,690,,
cell943,4133,8,82.08333333,,
cell944,1083,2,870,,
cell945,1974,4,356.0833333,,
cell946,4751,9,170,,
cell947,2980,6,72,,
cell948,4922,9,512.0833333,,
cell949,875,2,454.0833333,,
cell950,5449,10,418.0833333,,
cell951,1069,2,842,,
cell952,3357,6,826,,
cell953,296,1,444.0833333,,
cell954,215,1,282,,
cell955,326,1,504.0833333,,
cell956,4274,8,364.0833333,,
cell957,1955,4,318.0833333,,
cell958,3524,7,12,,
cell959,210,1,272,,
cell960,1092,2,888,,
cell961,293,1,438.0833333,,
cell962,3587,7,138.0833333,,
cell963,4506,8,828,,
cell964,2682,5,624,,
cell965,4141,8,98.08333333,,
cell966,4526,8,868,,
cell967,770,2,244,,
cell968,1029,2,762,,
cell969,696,2,96.08333333,,
cell970,460,1,772,,
cell971,1282,3,120.0833333,,
cell972,4193,8,202,,
cell973,3225,6,562.0833333,,
cell974,1517,3,590.0833333,,
cell975,2622,5,504.0833333,,
cell976,2519,5,298,,
cell977,3534,7,32.08333333,,
cell978,1482,3,520.0833333,,
cell979,937,2,578.0833333,,
cell980,848,2,400.0833333,,
cell981,1989,4,386.0833333,,
cell982,801,2,306,,
cell983,4194,8,204,,
cell984,1483,3,522.0833333,,
cell985,1282,3,120.0833333,,
cell986,1717,3,990,,
cell987,1076,2,856,,
cell988,1511,3,578.0833333,,
cell989,869,2,442.0833333,,
cell990,2982,6,76,,
cell991,1795,4,0,,
cell992,5365,10,250,,
cell993,2521,5,302,,
cell994,4722,9,112.0833333,,
cell995,1833,4,74,,
cell996,3902,7,768,,
cell997,1278,3,112.0833333,,
cell998,73,1,0,,
cell999,4725,9,118.0833333,,
cell1000,2982,6,76,,
,,,,,a
